English,Japanese
ADEPT,"熟達した,精通した;(…に)巧みな《+in(at)+名(doing)》 / 〈C〉(…に)熟達した人,(…の)名人《+『at』(『in』)+『名』(do『ing』)》"
ADIEU,"さようなら,ごきげんよう(good-by) / 別れ,告別(farewell)"
ADIOS,さようなら
ADLIB,"〈楽譜にないもの〉を即興的に歌う(演奏する),〈台本にないせりふ〉を即興的にしゃべる / 即興的に歌う(演奏する,しゃべる) / 《名詞の前にのみ用いて》即興の,アドリブの / アドリブで,即興で / アドリブ,即興的な演奏(演技,せりふ)"
ADMAN,"広告業者,広告会社社員"
ADMIT,"(場所・会・学校などへ)…を『入れる』,に入ることを許す《+『名』+『to』(『into』)+『名』》 / 〈事実・要求・誤りなど〉を『認める』,受け入れる / 〈場所・建物などが〉〈人・物〉を収容できる"
ADMIX,"(…と)…を混合する《+『名』+『with』+『名』》 / 混合する,まざる(mix)"
ADOBE,〈U〉《集合的に》(泥を固め天日で干して作る)アドービれんが 日干し煉瓦 / 〈C〉アドービれんが造りの家屋(米南西部・メキシコ・南米に多い) / アドービれんが造りの
ADOPT,"〈考え・習慣など〉を『取り入れる』,採用する / (法律によって)(…として)…を養子にする,家族(部族)の一員にする《+『名』+『as』+『名』》 / (投票など正式な手順で)…を採択する,承諾する"
ADORE,"〈人〉を『深く愛する』,敬愛する / 〈神〉をあがめる,崇拝する(worship) / 《話》…が大好きである"
ADORN,(装飾品などで)…を『飾る』《+『名』+『with』+『名』》
ADULT,"『おとなの』,成人した,成熟した / 成人向きの / 『おとな』,成人"
AEGIS,"保護,援助"
AERIE,高巣(ワシなどが崖(がけ)の上などに作る巣)
AFFIX,"(…に)…をはり付ける,くっ付ける《+『名』+『to』+『名』》 / (…に)〈印〉を押す,〈署名など〉を添える《+『名』+『to』+『名』》 / 接辞(接頭辞(prefix)や接尾辞(suffix)など)"
AFIRE,(…で)燃えた(on fire)《+『with』+『名』》 / 燃えて
AFOOT,"《古》徒歩の,歩いて(on foot) / (悪い事が)進行中の(in progress) / 徒歩で / (事が)進行中で"
AFORE,=before
AFOUL,衝突して;もつれて
AFTER,"《時・順序》…『の後に』,…後に;…の次に / …『を求めて』,の後を追って / …『の名をとって』,にならって;…ふうに(の) / …のことを心配して,に関して / …『だから』,…の結果 / 《前後に同じ名詞を用いて連続・反復など》 / 《時》…『した後で(に)』,してから / 《順序・時》『後に』,後ろから,後で / 後の,次の"
AGAIN,"『再び』,もう一度(once more);《否定語とともに用いて》二度と(…しない) / 『また元の所へ』,元のように / さらにそれだけ,…の倍も / 《しばしばthen, and thenに続いて》その上に(besides),さらに(furthermore) / 《しばしばand, and thenに続いて》また一方,ところが"
AGAPE,"(驚き・不信などで)あっけにとられて,唖然(あぜん)として / 《補語にのみ用いて》あっけにとられた,ぽかんとした / (神の)愛;(キリスト教徒間の)兄弟愛"
AGATE,〈U〉メノウ(石英の一種;美しい模様がある) / 〈C〉メノウ製の(またはメノウに似せた)ビー玉
AGAVE,アガベ(竜舌蘭の一種)
AGENT,"『代理人』;周旋人 / 働き(作用)を起こすもの;作用物,薬剤 / (政府機関,特にFBI,CIAなどの)部員,機関員"
AGILE,"(動作が)機敏な,すばやい / (頭脳の働きが)明敏な,回転の速い"
AGING,年をとること / (ワイン・チーズなどの)熟成
AGLOW,(空などが)(…で)赤々と輝いて《+『with』+『名』》 / (興奮などで)赤らんで;(誇りなどに)燃えて《+『with』+『名』》
AGOGO,=go-go
AGONY,"(長く激しい精神的・肉体的な)『苦悶』(くもん),苦痛 / (特別な感情の)激発;突発"
AGORA,"(古代ギリシアの)市民集会;(その)集会場,広場;市場"
AGREE,"〈人が〉『意見が一致する』,合意する;『同意する』,賛成する / 〈物事が〉(…と)合致する,一致する《+『with』+『名』》 / (…と)いっしょにうまくやる《+『with』+『名』》 / (文章で)〈人称・性・数・格が〉一致する / …に意見が一致する,同意する"
AHEAD,"(空間的に)『前方に』,前に(へ) / (時間的に)『前に』,先に / 他よりまさって"
AISLE,(教会・劇場・列車・旅客機などの)座席間の通路 / 側廊(教会堂で本堂(nave)の両側にある通路)
AITCH,"H,hの字(音)"
ALACK,(悲しみの叫びで)ああ
ALARM,"〈C〉『警報』;『警報器』 / 〈C〉警報装置 / 〈U〉(不意に危険を感じた時の)恐怖,驚愕(がく) / …に『警報する』,急を告げる / …を『怖がらせる』,おびえさせる(frighten)"
ALBUM,"(写真・切手・切り抜きなどを貼る)『アルバム』 / (いくつかの曲・劇などを収録した)組レコード,アルバム / 画帳"
ALDER,ハンノキ(建築用落葉高木)
ALERT,"『油断のない』,用心深い / (頭の回転・動作などが)機敏な / (動作が)敏しょうな / 〈U〉《しばしばthe ~》警戒,用心 / 〈C〉警報;警報発令期間 / (…に対して)…に警報(警告)を出す,警戒態勢をとらせる《+『名』+『to』+『名』》"
ALGAE,藻類
ALGAL,"藻の,藻類の"
ALIAS,"別名では,偽名は / 別名,通称"
ALIBI,"アリバイ,現場不在証明 / 《話》いいわけ,口実 / (…について)言いわけをする《+『for』+『名』(do『ing』)》"
ALIEN,"『外国の』,異国の;外国人の,在留外国人の / 《補語にのみ用いて》(…と)性質の異なる《+『from』(『to』)+『名』》 / 《補語にのみ用いて》(…と)相いれない,(…に)反する《+『to』+『名』》 / 異常な / (ある国に在住する)外国人,在留外国人;(citizenと区別して帰化してない)外国人"
ALIKE,"『同じように』,等しく(similarly) / (複数の人・物が)似ている(similar)"
ALINE,=align
ALIVE,"『生きている』(living) / 《しばしば最上級の形容詞と共に》現存している / 活動している,有効である(active) / 生き生きした,活発な"
ALLAY,"〈怒り・興奮・心配など〉を静める,和らげる / 〈痛み〉を軽くする"
ALLEY,"小路(こうじ),路地 / (公園・森,植込み・花壇の間などの)小道 / 《米》裏通り / (ボウリングなどの)レーン;《複数形で》ボウリング場 / はじき玉"
ALLOT,"(人・物に)…を『割り当てる』,充当する《+『名』+『to』(『for』)+『名』(do『ing』)》"
ALLOW,"〈事〉を『許す』,〈人〉に許可を与える / 〈金〉を与える,やる / (…のために)…を用意しておく,見越しておく《+『名』+『for』+『名』(do『ing』)》 / 《まれ》…を認める"
ALLOY,"(…と)…を合金にする《+『名』+『with』+『名』》 / 《文》(…で)〈純粋さ・価値など〉をそこなう,だいなしにする《+『名』+『with』+『名』》 / 合金 / (金・銀の)品位,純度 / 混ぜ物"
ALOFT,"空中高く,上に / マストの頂上に"
ALOHA,"愛(love),愛情(affection) / あいさつ(greetings) / ようこそ;さようなら"
ALONE,"『ひとりで』,一つで,単独で;ただ…だけで / 《名詞・代名詞のすぐ後に用いて》ただ…だけ(only)"
ALONG,"『…をたどって』,…に沿って / …の間に(during),…の途上で / 『沿って』,並んで / 《動作や状態の継続を強めて》前へ,進んで / (人を)連れて;(物を)持って"
ALOOF,"遠ざかって,離れて(apart) / 関心のない;打ち解けない"
ALOUD,声を出して / 大声で(loudly)
ALPHA,"アルファ(ギリシア語アルファベットの第1字Α,α;英語のA,aに相当) / アルファ星(星座の主星)"
ALTAR,"祭壇,聖餐(せいさん)台"
ALTER,"(形・性質などの点で)…を変える,改める / 変わる,改まる"
AMASS,"…をためる,蓄える"
AMAZE,"…を『ひどくびっくりさせる』,驚きあきれさせる"
AMBER,こはく(琥珀)(宝石に用いる黄褐色の鉱石) / こはく色 / こはく製の / こはく色の
AMBIT,周囲 / 勢力範囲
AMBLE,"アンブル,側対歩(馬が片側の両脚を同時に上げて進むゆるやかな歩調) / のんびりした歩き方,ゆっくりした足どり;ぶらつき,散歩 / 〈馬が〉アンブルで歩む / 〈人が〉ゆっくり(ぶらぶら)歩く《+『about』(『around』)》"
AMEND,"…を『改める』,改良する / (正式に)〈議案など〉を修正する,改正する / 品行を改める,行いを良くする"
AMIDE,アミド[基化物]
AMIGO,友人
AMISS,"誤った,不都合な;《否定文で》場違いの / 間違って,ぐあい悪く"
AMITY,"(人・国などの間の)親善,友好,親和"
AMONG,"…『の間に』,に囲まれて / 《おもに最上級と共に》…『の中の一つ』(『一人』)『で』,のうちに数えられて / 《分配を表す動詞と共に》…『の間で』,めいめいに / …がいっしょになって,が協力して"
AMOUR,"(特に人目をはばかる)恋愛,情事"
AMPLE,"広い,広々とした / 《数えられない名詞・複数名詞の前に用いて》『十分な』(enough),あり余るほどたくさんの(abundant) / ふくよかな,豊満な(full)"
AMPLY,"広々と,広く / 豊富に,十分に(fully)"
AMUCK,アモク 《急に興奮して殺人を犯す精神障害; 元来マレー人特有のものとされた》/ 殺気立って[た]; 怒り狂って[た].
AMUSE,"(…で)〈人,自分自身〉を『楽しませる』,おかしがらせる《+『名』+『with』+『名』,+『名』+『by』 do『ing』》"
ANENT,"…について,に関して"
ANGEL,"『天使』 / (美しさ・親切さなどで)天使のような人 / 守護神,守り神"
ANGER,"『怒り』,立腹 / …をおこらせる(make angry) / おこる(become angry)"
ANGLE,"『かど』,すみ(corner) / 『角』,角度 / 《話》(ものを見る)角度,観点(point of view) / …をある角度に動かす(向ける,曲げる) / …をある角度から見る / (楽しみとして)魚釣りをする;(魚を)釣る《+『for』+『名』》"
ANGRY,"『おこった』,腹を立てた / (海・波・風などが)おこったような,激しい / (傷が)炎症を起こした"
ANGST,(ばく然とした)不安
ANILE,老婆の[ような];もうろくした
ANION,陰イオン
ANISE,アニス(地中海沿岸産のセリ科の草;実は香味料)
ANKLE,"『足首』,くるぶし"
ANNEX,"(…に)〈さらに大きな物〉を付け加える,添える《+『名』+『to』+『名』》 / (…に)〈領土・会社など〉を併合する《+『名』+『to』+『名』》 / 《話》〈他人の物〉を失敬する / (…への)付加物;建て増し,(…の)別館《+『to』+『名』》 / (…の)付属文書(書類),付録《+『to』+『名』》"
ANNOY,"《しばしば受動態で》〈物事が〉…を『困らせる』,悩ませる,いらいらさせる"
ANNUL,〈法律など〉を無効にする;〈命令など〉を取り消す(cancel)
ANODE,(電気の)陽極(positive pole)
ANTIC,"おどけたしぐさ,異様な行動 / 《文》おどけた,奇妙な"
ANVIL,"(かじ屋が使う)金敷き,金床 / (耳の)きぬた骨"
AORTA,大動脈
APACE,速く(swiftly)
APART,"(時間的・空間的に)『離れて』,隔って;(…から)離れて《+『from』+『名』》 / 区別して;(…と)別々に《+『from』+『名』》 / ばらばらに"
APEAK,(いかり・オールなど)ほぼ垂直な / ほぼ垂直に[立てて]
APHID,アブラムシ(草木の害虫)(plant louse)
APHIS,=aphid
APISH,"(特に行動が)サルのような,馬鹿なことをする"
APPAL,=appall
APPLE,『リンゴ』;リンゴの木
APPLY,"(…に)…を『適用する』,応用する《+『名』+『to』+『名』(do『ing』)》 / (…に)…を『当てる』,当てがう《+『名』+『to』+『名』》 / (…に)〈心・努力など〉を傾ける,注ぐ《+『名』+『to』+『名』(do『ing』)》 / …を作用させる,動かす / (…に)『適用される』,当てはまる《+『to』+『名』》 / 申し込む,出願する;(…に…を)申し込む《+『to』+『名』+『for』+『名』》"
APRON,"『エプロン』,前掛け / (また『apron stage』)張り出し舞台 / エプロン(飛行機の乗降・荷積み・給油などをする所)"
APTLY,適切に
ARBOR,"(庭園の)木陰のあずまや,藤棚,緑のトンネル / (機械)回転軸,心棒"
ARENA,"(古代ローマ時代の円形劇場の中央にある)闘技場 / (一般にスポーツなどの)競技場,競演場 / 競争の場,活躍の舞台"
ARGON,アルゴン(気体元素;化学記号は『Ar』)
ARGOT,"(ある仲間の間で使われる,特に盗人の)隠語"
ARGUE,"(人と…について)『議論する』,論争する,言い争う《+『with』+『名』〈人〉+『about』(『on, over』)+『名』》 / (…に賛成・反対して)論じる,主張する《+『for』(『in favor of, against』)+『名』》 / …を『議論する』,論じる / (…するように)〈人〉を『説得する』,説き伏せる《+『名』〈人〉+『into』+『名』(do『ing』)》,(…しないように)〈人〉を説得する《+『名』〈人〉+『out of』+『名』》 / 〈物事が〉…を示す,表す(show)"
ARISE,"〈問題・事件などが〉『起こる』,現れる / (…から)生じる(result)《+『from』+『名』》 / 《古・詩》起き上がる,立ち上がる / 《英ではまれ》〈霧・煙などが〉立ちのぼる,湧きあがる"
ARITH,arithmetic / arithmetical
ARMED,武装した / (ある目的のために)用意した
AROMA,"〈U〉〈C〉(濃くて強い)芳香,香気 / (芸術作品などのかもし出す)気品,趣き《+『of』+『名』》"
AROSE,ariseの過去形
ARRAS,アラス織り(美しい絵模様のあるつづれ織り);〈C〉アラス織りの壁掛け
ARRAY,"〈軍隊など〉を整列させる,配置する / 《文》〈人〉に衣類を着せる,(特に)〈人〉を盛装させる / 〈U〉整列,陳列 / (…の)整列(配置)した物(人),勢ぞろい《+『of』+『名』(複数)》 / 〈U〉衣装,(特に)美しい装い"
ARROW,『矢』 / (用途・形などが)矢に似た物;(記号の)矢印(→)
ARSON,"放火,放火罪"
ASCOT,"アスコットタイ,アスコットスカーフ(幅の広い男性用のスカーフ・ネクタイ)"
ASHEN,灰の / 灰色の;青白い / トネリコ[製]の
ASIDE,"『わきに(へ)』;(ある位置・方向から)それて;(…から)少し離れて《+『from』+『名』》 / 別にしておいて,しまっておいて / 忘れて,考慮しないで / (演劇の)傍白,わきぜりふ / ひとり言 / わき道にそれた発言"
ASKEW,"斜めに;曲がって,ゆがんで / 曲がって,ゆがんで"
ASPEN,"ハコヤナギ,ポプラ"
ASPIC,アスピック(肉・魚・野菜の煮汁から作るゼリー)
ASSAY,"(金属の品質・鉱石の金属含有量・薬品の)分析,試金 / 試金物,分析物 / …を試金する,分析する"
ASSET,"価値のあるもの,宝 / 《複数形で》資産,財産"
ASTER,"アスター,エゾギク(庭に植えるキク科の一年草)"
ASTIR,"(…に)わきたって,ざわめいて《+『at』+『名』》;(…で)にぎわって《+『with』+『名』》 / (ベッドから)起きて"
ATILT,"《補語にのみ用いて》傾いた,傾斜した / 傾斜して / 槍を構えて"
ATLAS,"『地図帳』 / 図解,表解"
ATOLL,"環状サンゴ礁,環礁"
ATONE,"(罪・あやまちなどを)償う,あがなう,埋合せをする《+『for』+『名』》"
ATONY,"(生体の組織の)無力[症],弛緩(しかん)"
ATTAR,"バラ油,花の精,花のエキス"
ATTIC,『屋根裏』;屋根裏部屋
AUDIO,"(電波の)可聴周波の,低周波の;(テレビの)音声の / (テレビの)音声[部門]"
AUDIT,会計検査(監査) / 決算報告[書] / …の会計検査(監査)をする / 《米》(大学の講義)を聴講する / 会計検査(監査)をする
AUGER,らせん形のきり(大工用でT字型の柄がついている)
AUGHT,"《古・詩》 何か, 何でも; あらゆること / 少しも, どの程度にもせよ / 零, ゼロ; 《古》 無"
AUGUR,"卜占(ぼくせん)官(古代ローマで鳥の鳴き声などによって国事の吉凶を占った祭司) / (一般)占い師,予言者 / 〈事〉を占う,予言する,予測する / 〈物・事〉の前兆を示す / (前兆などから)占う,予測する / 前兆となる"
AURAL,耳の;聴覚の
AUXIN,オーキシン(植物の成長を調整するホルモン)
AVAIL,"《通例否定文に用いて》(…に)『役に立つ』,用が足りる《+『with』+『名』》 / 〈人〉に役立つ,を利する / 《文》利益,効用"
AVAST,"(海事用語で)やめ,待て"
AVERT,"〈事故など〉を避ける,防ぐ / (…から)〈目など〉をそらす,そむける《+『名』+『from』+『名』》"
AVIAN,"鳥類の,鳥の"
AVOID,"〈危険・いやなもの〉を『避ける』,回避する(keep away from) / (法律上)〈抗弁など〉を無効にする"
AWAIT,"〈人が〉…を『待つ』 / 〈物・事が〉〈人〉を待ちうける,待ちかまえる"
AWAKE,"(…から)…の『目をさまさせる』,を起こす《+『名』+『from』+『名』》(wake) / 〈記憶・感情など〉を呼び起こす,喚起する / (…を)〈人〉に気づかせる,自覚させる《+『名』〈人〉+『to』+『名』》 / 目をさます / (周囲の事情などに)気がつく《+『to』+『名』》 / 『眠らずに』,『目がさめて』 / (…に)気づいている《+『to』+『名』》"
AWARD,"《『award』+『名』〈人〉+『名』=『award』+『名』+『to』+『名』〈人〉》(審査して)〈人〉に〈賞など〉を『与える』,『授ける』 / 『賞』,『賞品』(prize) / (判事・調停者の)審判,裁定"
AWARE,"《補語にのみ用いて》『知っている』,『気づいている』,感づいている / 見聞の広い,世事に通じた"
AWASH,"水面すれすれで,水をかぶって / 波にもまれて / 水面すれすれに / 波にもまれながら"
AWFUL,"(光景・事故などが)『恐ろしい』,すさまじい / 《話》(行為が)『ひどい』,見苦しい / 《話》(程度が)大きい,すごい(great) / 《俗》ひどく,すごく(very, extremely)"
AWOKE,awakeの過去・過去分詞
AXIAL,"軸の,軸をなす / 軸上に位置した"
AXIOM,"自明の理,原理;(数学の)公理;格言"
AZURE,"空色の;青空の(sky-blue) / 空色;《詩》青空,天空(sky)"
BABEL,"(旧約聖書で)バベルの塔(the tower of Babel)(昔Babylonで,天まで届かせようとして神にとめられた塔) / 〈C〉〈U〉《b-》騒音;騒然とした場所"
BACON,ベーコン(『Francis』『~』;1561‐1626;英国の随筆家・哲学者・政治家)
BANTU,〈C〉バンツー族(人)(アフリカ南部・中部に住む諸族) / 〈U〉バンツー語
BENIN,"ベニン(アフリカ西部,Guinea 湾に臨む共和国,1976国名をDahomeyから変更)"
BIBLE,《the~》『聖書』 / 〈C〉《b-》権威ある書籍 / 〈C〉《しばしばb-》(諸宗数の)聖典
BLAKE,ブレイク(『William~;1757‐1827』;英国の詩人・画家)
BLIMP,Colonel Blimp
BOISE,ボイジー(米国Idaho州の州都)
BRONX,ブロンクス(New York市5区中の北部の区)
BURMA,ビルマ(アジア南東部の共和国;首都はRangoon)
BYRON,"バイロン(『George Gordon, Lord Byron』;1788‐1824;英国の詩人)"
BACCY,《俗》たばこ
BACON,『ベーコン』
BADGE,"『記章』,バッジ / 印"
BADLY,"『悪く』,まずく,へたに / 『大いに』,『ひどく』,非常に"
BAGEL,ドーナツ型堅ロールパン
BAGGY,"ふくれた,だぶだぶの"
BAIRN,"《スコットランド・北英》子供;むすこ,娘"
BAIZE,ベーズ(玉突き台などに張る緑色の柔らかい毛織地)
BAKER,"『パン屋』,パン焼き職人"
BALKY,(馬が)急に止まる癖のある
BALLY,"《遠回しに》《英》ひどい,とんでもない / ひどく,べらぼうに[bloodyがなまった語]"
BALMY,"おだやかな,さわやかな / 芳香のある,かぐわしい / 心の慰めとなる / 《米俗》少し気が変な(《英》barmy)"
BALSA,"〈U〉バルサ材(軽く強いので,救命用具・いかだ・模型飛行機などに用いる) / 〈C〉バルサの木(熱帯アメリカ産)"
BANAL,"平凡な,陳腐な"
BANDY,"〈ボールなど〉を投げ合う,打ち合う / 〈言葉・殴打など〉を交わす / =bandy-legged"
BANJO,バンジョー(4弦または5弦の楽器)
BANNS,"結婚予告(教会での挙式前に新郎新婦の名前を公表し,その結婚に対する異議の有無を問う)"
BARGE,"(運河などの)平底の荷船,はしけ / 遊覧船,屋形船 / …をはしけで運ぶ / のろのろ動く,よろよろ動き回る《+『about』(『around』)》"
BARMY,"愚かな,少し気が変な(《米》balmy)"
BARON,"男爵(英国ではviscount(子爵)に次ぐ貴族) / 《米》大実業家,…王"
BASAL,"基底の,基部の / 基礎的な,基本的な"
BASES,basisの複数形
BASIC,"『基礎の』,基本的な(fundamental) / 塩基性(アルカリ性)の"
BASIL,〈C〉メボウキ(芳香のある草) / 〈U〉バジル(メボウキの葉.香辛料)
BASIN,"『たらい』,はち(bowl);洗面器 / (…の)たらい1杯[分]《+『of』+『名』》 / (自然または人工の)水たまり,池 / (川の)流域;くぼ地,盆地 / 入江,内湾,船だまり"
BASIS,"『根拠』,基準;…制 / (混合物の)主成分"
BASSO,〈C〉低音歌手(オペラなどで低音を歌う役割); 〈V〉低音(音楽用語で低音を指す)
BASTE,"(焼くとき)〈肉など〉にバターをぬる,油(たれ)をかける / 〈布・服〉を仮縫いする"
BATCH,"(パンなどの)一焼き分《+『of』+『名』》 / (…の)1度分の[の分量]《+『of』+『名』》 / 《話》(…の)束;群,組《+『of』+『名』》"
BATHE,"《米》〈子供など〉を『入浴させる』(《英》bath) / …を『浸す』,『洗う』 / 〈汗・涙が〉…をぬらす / 〈光などが〉…にいっぱいに注ぐ,を包む / 《米》入浴する(《英》bath) / 《おもに英》水泳する / 《英語》(海・川での)水泳"
BATIK,ろうけつ染め / ろう染めの布
BATON,"(音楽の)指揮棒 / バトンガールが持つバトン / (元帥などの官位を示す)官杖,司令杖 / (リレー用の)バトン / (警官の)警棒"
BATTY,"気違いの,気の狂った"
BAULK,"=balk (躊躇する,ためらう,拒否する)"
BAWDY,"みだらな,わいせつな,品のない"
BAYOU,《米》(アメリカ南部の)沼地性の入り江
BEACH,"『浜』,海岸 / 海水浴場 / 〈ボートなど〉を浜に引き上げる"
BEADY,ビーズのような;(特に目が)小さく丸く輝く
BEANO,=bingo
BEARD,〈C〉(人の)『あごひげ』 / (動物の)あごひげ;(一般に)ひげ状のもの / …に勇敢に立ち向かう
BEAST,"《文》(人間以外の)『動物』,(特に鳥・魚に対して)四足獣;(人間に対する)『けもの』,畜生 / (けもののように)粗暴な人 / 《英話》《~a》(…の)とてもいやなこと(物)《+『of』+『名』》"
BEAUT,"すばらしいもの(こと) / すてきな,申しぶんのない"
BEAUX,beauの複数形
BEBOP,バップ(モダンジャズの一形式)
BEDEW,(露・水滴・涙などで)…をぬらす《+『名』+『with』+『名』》
BEDIM,"(…で)〈目・心など〉を曇らせる,かすませる《+『with』(『by』)+『名』》"
BEECH,ブナの木;〈U〉ブナ材
BEEFY,"《話》筋肉のたくましい,肉づきのよい"
BEERY,ビールの[ような] / ビールに酔った
BEFIT,"《文》…に適する,ふさわしい,似合う"
BEFOG,"…を霧(雲)で包む / (…で)〈問題・論点など〉をぼかす,あいまいにする《+『名』+『with』+『名』》"
BEGAN,beginの過去形
BEGET,(父親が)〈子〉をもうける / 《父》…を生じさせる
BEGIN,"『始まる,開始する』 / 発生する,起こる / …を『始める』,に着手する / …を起こす,創始する"
BEGOT,begetの過去形
BEGUN,beginの過去分詞形
BEIGE,ベージュ色(淡いとび色・黄色味を帯びた薄い茶色);ベージュ色の毛織物 / ベージュ色の
